IP Range,Country,Region,City,Postal Code
52.97.218.64/27,NL,,AMSTERDAM,
52.97.219.0/25,NL,,AMSTERDAM,
52.97.219.128/27,NL,,AMSTERDAM,
52.97.219.160/28,NL,,AMSTERDAM,
52.97.220.0/25,NL,,AMSTERDAM,
52.97.221.96/27,NL,,AMSTERDAM,
52.97.223.0/24,NL,,AMSTERDAM,
52.97.224.0/25,NL,,AMSTERDAM,
52.97.230.192/28,NL,,AMSTERDAM,
52.97.231.0/25,NL,,AMSTERDAM,
52.97.232.128/28,NL,,AMSTERDAM,
52.97.232.160/28,NL,,AMSTERDAM,
52.97.233.128/25,NL,,AMSTERDAM,
52.97.234.0/25,NL,,AMSTERDAM,
52.97.234.128/28,NL,,AMSTERDAM,
52.97.234.224/28,NL,,AMSTERDAM,
52.97.237.48/28,NL,,AMSTERDAM,
52.97.241.0/25,NL,,AMSTERDAM,
52.97.241.128/27,NL,,AMSTERDAM,
52.97.242.0/25,NL,,AMSTERDAM,
52.97.244.224/27,NL,,AMSTERDAM,
52.97.245.128/25,NL,,AMSTERDAM,
